Dimension;Value;Procedure;Measure;Pre-Op Q Mean;Pre-Op Q 5%;Pre-Op Q 1st Quartile;Pre-Op Q Median;Pre-Op Q 3rd Quartile;Pre-Op Q 95%;Post-Op Q Mean;Post-Op Q 5%;Post-Op Q 1st Quartile;Post-Op Q Median;Post-Op Q 3rd Quartile;Post-Op Q 95%;Heath Gain Mean;Heath Gain 5%;Heath Gain 1st Quartile;Heath Gain Median;Heath Gain 3rd Quartile;Heath Gain 95%;Improved;Unchanged;Worsened;Total;Year
Age and Gender;2 - 45 to 49;Hip Replacement;EQ-5D Index;0.318;-0.074;-0.003;0.26;0.62;0.727;0.774;0.084;0.689;0.814;1.0;1.0;0.456;-0.071;0.209;0.413;0.741;0.952;404.0;17.0;28.0;449.0;2018-19
Age and Gender;2 - 45 to 49;Hip Replacement;Oxford Hip Score;16.456;5.0;11.0;16.0;22.0;30.0;39.732;18.85;35.25;43.0;46.0;48.0;23.276;5.0;17.0;24.0;31.0;37.0;466.0;3.0;9.0;478.0;2018-19
Age and Gender;2 - 45 to 49;Knee Replacement;EQ VAS;56.601;15.0;35.0;60.0;80.0;90.0;68.957;23.0;55.0;75.0;90.0;96.0;12.356;-40.0;-4.0;10.0;30.0;60.0;177.0;29.0;75.0;281.0;2018-19
Age and Gender;2 - 45 to 49;Knee Replacement;EQ-5D Index;0.275;-0.181;-0.01;0.159;0.62;0.76;0.62;-0.077;0.516;0.691;0.848;1.0;0.344;-0.109;0.03;0.309;0.647;0.935;217.0;30.0;40.0;287.0;2018-19
Age and Gender;2 - 45 to 49;Knee Replacement;Oxford Knee Score;15.211;4.0;9.0;14.0;21.0;28.0;32.343;11.0;24.0;35.0;42.0;46.0;17.132;0.0;9.0;17.0;25.0;34.9;286.0;3.0;14.0;303.0;2018-19
Age and Gender;2 - 50 to 54;Hip Replacement;EQ VAS;57.961;20.0;40.0;60.0;80.0;90.95;77.116;35.0;70.0;80.0;90.0;100.0;19.155;-20.0;1.0;20.0;35.0;65.0;738.0;72.0;172.0;982.0;2018-19
Age and Gender;2 - 50 to 54;Hip Replacement;EQ-5D Index;0.307;-0.077;-0.003;0.186;0.62;0.76;0.775;0.082;0.691;0.814;1.0;1.0;0.469;-0.066;0.209;0.42;0.76;1.016;888.0;45.0;53.0;986.0;2018-19
Age and Gender;2 - 50 to 54;Hip Replacement;Oxford Hip Score;16.139;5.0;10.0;15.0;21.0;30.0;39.829;20.0;36.0;43.0;47.0;48.0;23.69;6.0;18.0;25.0;31.0;38.0;1023.0;1.0;20.0;1044.0;2018-19
Age and Gender;2 - 50 to 54;Knee Replacement;EQ VAS;60.639;20.0;43.0;61.0;80.0;95.0;71.483;30.0;60.0;75.0;90.0;97.95;10.844;-30.0;-5.0;10.0;27.0;52.9;641.0;91.0;290.0;1022.0;2018-19
Age and Gender;2 - 50 to 54;Knee Replacement;EQ-5D Index;0.319;-0.077;0.055;0.159;0.691;0.733;0.684;0.013;0.62;0.727;0.85;1.0;0.366;-0.117;0.088;0.334;0.637;0.912;847.0;94.0;92.0;1033.0;2018-19
Age and Gender;2 - 50 to 54;Knee Replacement;Oxford Knee Score;16.261;6.0;11.0;15.0;21.0;29.0;33.814;13.0;28.0;36.0;42.0;46.0;17.554;-1.0;11.0;18.0;25.0;33.0;1023.0;12.0;58.0;1093.0;2018-19
Age and Gender;2 - 55 to 59;Hip Replacement;EQ VAS;60.294;20.0;40.0;61.0;80.0;95.0;78.419;40.0;70.0;84.0;90.0;100.0;18.125;-20.65;0.75;15.0;35.0;60.0;1146.0;106.0;276.0;1528.0;2018-19
Age and Gender;2 - 55 to 59;Hip Replacement;EQ-5D Index;0.319;-0.074;-0.003;0.26;0.62;0.76;0.791;0.097;0.691;0.848;1.0;1.0;0.472;-0.032;0.225;0.413;0.768;1.016;1412.0;81.0;82.0;1575.0;2018-19
Age and Gender;2 - 55 to 59;Hip Replacement;Oxford Hip Score;16.438;5.0;11.0;16.0;21.0;30.0;40.098;20.0;37.0;44.0;47.0;48.0;23.66;5.0;18.0;25.0;31.0;38.0;1634.0;10.0;34.0;1678.0;2018-19
Age and Gender;2 - 55 to 59;Knee Replacement;EQ VAS;62.44;25.0;50.0;65.0;80.0;95.0;72.521;30.0;60.0;80.0;90.0;98.0;10.081;-30.0;-2.0;10.0;25.0;50.0;1139.0;194.0;470.0;1803.0;2018-19
Age and Gender;2 - 55 to 59;Knee Replacement;EQ-5D Index;0.348;-0.077;0.055;0.264;0.691;0.76;0.684;-0.003;0.62;0.727;0.85;1.0;0.336;-0.147;0.069;0.309;0.636;0.911;1456.0;188.0;198.0;1842.0;2018-19
Age and Gender;2 - 55 to 59;Knee Replacement;Oxford Knee Score;16.906;6.0;11.0;16.0;22.0;30.0;33.968;13.0;27.0;37.0;42.0;47.0;17.062;-1.0;10.0;18.0;25.0;33.0;1843.0;16.0;111.0;1970.0;2018-19
Age and Gender;2 - 60 to 64;Hip Replacement;EQ VAS;61.007;20.0;45.0;65.0;80.0;95.0;78.854;40.0;70.0;82.5;90.0;100.0;17.846;-19.45;0.0;15.0;32.25;61.45;1861.0;216.0;415.0;2492.0;2018-19
Age and Gender;2 - 60 to 64;Hip Replacement;EQ-5D Index;0.323;-0.074;-0.003;0.228;0.62;0.76;0.792;0.101;0.691;0.848;1.0;1.0;0.469;0.0;0.209;0.413;0.76;1.016;2296.0;134.0;112.0;2542.0;2018-19
Age and Gender;2 - 60 to 64;Hip Replacement;Oxford Hip Score;16.896;5.0;11.0;16.0;22.0;31.0;40.423;21.65;37.0;43.0;47.0;48.0;23.527;5.0;18.0;25.0;30.0;38.0;2681.0;14.0;59.0;2754.0;2018-19
Age and Gender;2 - 60 to 64;Knee Replacement;EQ VAS;64.44;27.0;50.0;70.0;80.0;95.0;73.816;35.0;60.25;80.0;90.0;98.0;9.376;-30.0;-5.0;10.0;22.0;50.0;1804.0;280.0;818.0;2902.0;2018-19
Age and Gender;2 - 60 to 64;Knee Replacement;EQ-5D Index;0.371;-0.074;0.088;0.516;0.691;0.76;0.705;0.055;0.62;0.727;0.883;1.0;0.333;-0.105;0.069;0.309;0.603;0.872;2393.0;295.0;288.0;2976.0;2018-19
Age and Gender;2 - 60 to 64;Knee Replacement;Oxford Knee Score;17.635;6.0;12.0;17.0;23.0;31.0;34.441;14.1;28.0;37.0;42.0;47.0;16.806;-1.0;10.0;18.0;24.0;32.0;2970.0;40.0;173.0;3183.0;2018-19
Age and Gender;2 - 65 to 69;Hip Replacement;EQ VAS;63.284;20.0;50.0;69.0;80.0;95.0;78.537;40.0;70.0;80.0;90.0;100.0;15.253;-20.0;0.0;11.0;30.0;59.0;2591.0;271.0;716.0;3578.0;2018-19
Age and Gender;2 - 65 to 69;Hip Replacement;EQ-5D Index;0.341;-0.074;0.055;0.516;0.656;0.76;0.808;0.383;0.691;0.848;1.0;1.0;0.466;0.0;0.226;0.413;0.759;1.003;3340.0;185.0;155.0;3680.0;2018-19
Age and Gender;2 - 65 to 69;Hip Replacement;Oxford Hip Score;17.443;5.0;11.0;17.0;23.0;32.0;40.424;22.0;37.0;43.0;47.0;48.0;22.981;5.0;17.0;24.0;30.0;38.0;3873.0;16.0;83.0;3972.0;2018-19
Age and Gender;2 - 65 to 69;Knee Replacement;EQ VAS;66.909;30.0;50.0;70.0;80.0;95.0;75.86;40.0;69.0;80.0;90.0;99.0;8.951;-25.0;-2.0;7.0;20.0;49.0;2427.0;436.0;1036.0;3899.0;2018-19
Age and Gender;2 - 65 to 69;Knee Replacement;EQ-5D Index;0.394;-0.074;0.088;0.516;0.691;0.76;0.752;0.159;0.691;0.779;1.0;1.0;0.358;-0.071;0.104;0.309;0.636;0.912;3352.0;342.0;302.0;3996.0;2018-19
Age and Gender;2 - 65 to 69;Knee Replacement;Oxford Knee Score;18.2;7.0;13.0;18.0;23.0;31.0;36.057;18.0;31.0;38.0;43.0;47.0;17.857;0.0;12.0;18.0;25.0;33.0;4103.0;28.0;189.0;4320.0;2018-19
Age and Gender;2 - 70 to 74;Hip Replacement;EQ VAS;64.169;25.0;50.0;70.0;80.0;95.0;77.838;45.0;70.0;80.0;90.0;99.0;13.669;-20.0;0.0;10.0;26.0;55.0;3211.0;393.0;1058.0;4662.0;2018-19
Age and Gender;2 - 70 to 74;Hip Replacement;EQ-5D Index;0.338;-0.074;0.055;0.364;0.656;0.727;0.8;0.487;0.691;0.814;1.0;1.0;0.462;0.0;0.204;0.413;0.759;1.016;4304.0;282.0;225.0;4811.0;2018-19
Age and Gender;2 - 70 to 74;Hip Replacement;Oxford Hip Score;17.382;5.0;11.0;17.0;23.0;32.0;39.73;22.0;36.0;42.0;46.0;48.0;22.348;4.0;16.0;23.0;30.0;37.0;5150.0;23.0;113.0;5286.0;2018-19
Age and Gender;2 - 70 to 74;Knee Replacement;EQ VAS;67.881;30.0;53.0;70.0;80.0;95.0;76.205;45.0;70.0;80.0;90.0;98.0;8.324;-21.95;-3.0;5.0;20.0;45.0;3105.0;577.0;1380.0;5062.0;2018-19
Age and Gender;2 - 70 to 74;Knee Replacement;EQ-5D Index;0.408;-0.074;0.088;0.587;0.691;0.76;0.766;0.228;0.691;0.796;1.0;1.0;0.358;-0.071;0.104;0.309;0.636;0.899;4463.0;425.0;352.0;5240.0;2018-19
Age and Gender;2 - 70 to 74;Knee Replacement;Oxford Knee Score;18.536;7.0;13.0;18.0;24.0;32.0;36.474;19.0;31.0;38.0;43.0;47.0;17.938;2.0;12.0;18.0;25.0;33.0;5419.0;43.0;195.0;5657.0;2018-19
Age and Gender;2 - 75 to 79;Hip Replacement;EQ VAS;63.0;20.0;50.0;69.0;80.0;95.0;75.831;45.0;70.0;80.0;90.0;98.0;12.831;-20.0;0.0;10.0;26.0;55.0;2273.0;314.0;862.0;3449.0;2018-19
Age and Gender;2 - 75 to 79;Hip Replacement;EQ-5D Index;0.321;-0.074;0.003;0.195;0.62;0.727;0.785;0.293;0.691;0.796;1.0;1.0;0.465;-0.033;0.192;0.413;0.763;1.016;3255.0;206.0;193.0;3654.0;2018-19
Age and Gender;2 - 75 to 79;Hip Replacement;Oxford Hip Score;17.02;5.0;11.0;16.0;22.0;32.0;38.666;21.0;34.0;41.0;45.0;48.0;21.645;3.0;15.0;23.0;29.0;37.0;3904.0;21.0;109.0;4034.0;2018-19
Age and Gender;2 - 75 to 79;Knee Replacement;EQ VAS;67.736;30.0;51.0;70.0;80.0;95.0;74.125;40.0;65.0;80.0;90.0;96.0;6.389;-27.0;-5.0;5.0;19.0;43.0;2010.0;450.0;1132.0;3592.0;2018-19
Age and Gender;2 - 75 to 79;Knee Replacement;EQ-5D Index;0.397;-0.074;0.088;0.587;0.691;0.727;0.749;0.186;0.689;0.76;1.0;1.0;0.352;-0.071;0.104;0.309;0.636;0.897;3167.0;376.0;267.0;3810.0;2018-19
Age and Gender;2 - 75 to 79;Knee Replacement;Oxford Knee Score;18.002;7.0;13.0;18.0;23.0;31.0;35.664;19.0;30.0;37.0;43.0;47.0;17.661;1.0;11.0;18.0;24.0;33.0;3966.0;29.0;143.0;4138.0;2018-19
Age and Gender;2 - 80 to 84;Hip Replacement;EQ VAS;61.432;20.0;50.0;65.0;80.0;90.0;73.7;40.0;60.0;80.0;89.0;97.0;12.268;-25.0;-1.0;10.0;25.0;60.0;1469.0;211.0;580.0;2260.0;2018-19
Age and Gender;2 - 80 to 84;Hip Replacement;EQ-5D Index;0.273;-0.181;-0.003;0.159;0.587;0.691;0.752;0.186;0.656;0.779;1.0;1.0;0.479;-0.013;0.205;0.502;0.759;1.016;2176.0;99.0;123.0;2398.0;2018-19
Age and Gender;2 - 80 to 84;Hip Replacement;Oxford Hip Score;15.617;4.0;9.0;15.0;21.0;30.0;36.993;19.0;32.0;39.0;44.0;48.0;21.376;3.0;15.0;22.0;29.0;37.0;2600.0;14.0;65.0;2679.0;2018-19
Age and Gender;2 - 80 to 84;Knee Replacement;EQ VAS;66.561;30.0;50.0;70.0;80.0;94.0;73.355;40.0;63.75;77.0;87.0;95.0;6.795;-25.0;-5.0;5.0;20.0;45.0;1103.0;253.0;640.0;1996.0;2018-19
Age and Gender;2 - 80 to 84;Knee Replacement;EQ-5D Index;0.386;-0.074;0.088;0.516;0.691;0.76;0.75;0.195;0.691;0.76;1.0;1.0;0.364;-0.053;0.104;0.309;0.636;0.899;1790.0;190.0;135.0;2115.0;2018-19
Age and Gender;2 - 80 to 84;Knee Replacement;Oxford Knee Score;17.486;6.0;12.0;17.0;23.0;31.0;35.462;19.0;30.0;37.0;42.25;47.0;17.976;2.0;11.75;18.0;25.0;33.0;2279.0;20.0;61.0;2360.0;2018-19
Age and Gender;2 - 85 to 89;Hip Replacement;EQ VAS;60.727;20.0;50.0;65.0;80.0;90.0;71.85;40.0;60.0;75.0;85.0;95.0;11.123;-28.0;-2.0;10.0;25.0;50.0;541.0;73.0;221.0;835.0;2018-19
Age and Gender;2 - 85 to 89;Hip Replacement;EQ-5D Index;0.241;-0.239;-0.016;0.124;0.587;0.691;0.728;0.239;0.62;0.743;0.883;1.0;0.488;-0.054;0.192;0.532;0.772;1.016;794.0;49.0;50.0;893.0;2018-19
Age and Gender;2 - 85 to 89;Hip Replacement;Oxford Hip Score;14.636;4.0;8.0;13.0;20.0;31.0;36.364;21.0;31.0;38.0;43.0;47.4;21.727;3.0;15.0;23.0;29.0;37.0;961.0;5.0;27.0;993.0;2018-19
Age and Gender;2 - 85 to 89;Knee Replacement;EQ VAS;66.336;30.0;50.0;70.0;80.0;95.0;72.059;40.0;60.0;75.0;85.0;95.0;5.722;-30.0;-5.0;5.0;19.0;44.0;368.0;72.0;223.0;663.0;2018-19
Age and Gender;2 - 85 to 89;Knee Replacement;EQ-5D Index;0.365;-0.074;0.088;0.516;0.691;0.727;0.718;0.159;0.62;0.727;0.883;1.0;0.353;-0.104;0.104;0.309;0.636;0.856;574.0;57.0;60.0;691.0;2018-19
Age and Gender;2 - 85 to 89;Knee Replacement;Oxford Knee Score;16.509;5.0;11.0;16.0;22.0;30.0;34.596;18.0;29.0;36.0;41.5;47.0;18.088;1.1;11.0;19.0;25.0;33.0;734.0;5.0;24.0;763.0;2018-19
Age and Gender;2 - 90 to 120;Hip Replacement;EQ VAS;56.21;10.0;40.0;60.0;75.0;90.0;69.167;37.1;50.0;70.0;84.75;100.0;12.957;-25.75;0.0;10.0;30.0;51.5;93.0;11.0;34.0;138.0;2018-19
Age and Gender;2 - 90 to 120;Hip Replacement;EQ-5D Index;0.169;-0.239;-0.074;0.055;0.516;0.691;0.705;0.189;0.587;0.743;0.85;1.0;0.536;0.0;0.263;0.59;0.78;1.074;131.0;9.0;6.0;146.0;2018-19
Age and Gender;2 - 90 to 120;Hip Replacement;Oxford Hip Score;12.736;3.0;6.0;11.0;18.0;27.9;35.436;20.1;30.5;38.0;41.0;46.0;22.699;8.0;17.5;23.0;30.0;36.0;158.0;0.0;5.0;163.0;2018-19
Age and Gender;2 - 90 to 120;Knee Replacement;EQ VAS;61.859;20.0;50.0;65.0;80.0;90.0;69.753;40.0;59.0;70.0;84.0;92.4;7.894;-34.2;-10.0;5.0;20.0;49.0;45.0;11.0;29.0;85.0;2018-19
Age and Gender;2 - 90 to 120;Knee Replacement;EQ-5D Index;0.287;-0.074;0.055;0.159;0.62;0.707;0.692;0.055;0.62;0.726;0.858;1.0;0.406;-0.033;0.128;0.421;0.655;0.899;79.0;7.0;6.0;92.0;2018-19
Age and Gender;2 - 90 to 120;Knee Replacement;Oxford Knee Score;14.131;3.0;8.0;13.0;18.0;28.1;33.545;17.8;26.5;36.0;40.0;46.0;19.414;2.0;13.0;20.0;25.0;35.0;98.0;0.0;1.0;99.0;2018-19
Age and Gender;9 - 10 to 14;Hip Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 10 to 14;Hip Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 10 to 14;Hip Replacement;Oxford Hip Score;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 10 to 14;Knee Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 10 to 14;Knee Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 10 to 14;Knee Replacement;Oxford Knee Score;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 15 to 19;Hip Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 15 to 19;Hip Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 15 to 19;Hip Replacement;Oxford Hip Score;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 15 to 19;Knee Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 15 to 19;Knee Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 15 to 19;Knee Replacement;Oxford Knee Score;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 20 to 24;Hip Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 20 to 24;Hip Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 20 to 24;Hip Replacement;Oxford Hip Score;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 20 to 24;Knee Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 20 to 24;Knee Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 20 to 24;Knee Replacement;Oxford Knee Score;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 25 to 29;Hip Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 25 to 29;Hip Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 25 to 29;Hip Replacement;Oxford Hip Score;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 25 to 29;Knee Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 25 to 29;Knee Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 25 to 29;Knee Replacement;Oxford Knee Score;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 30 to 34;Hip Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 30 to 34;Hip Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 30 to 34;Hip Replacement;Oxford Hip Score;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 30 to 34;Knee Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 30 to 34;Knee Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 30 to 34;Knee Replacement;Oxford Knee Score;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 35 to 39;Hip Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 35 to 39;Hip Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 35 to 39;Hip Replacement;Oxford Hip Score;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 35 to 39;Knee Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 35 to 39;Knee Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 35 to 39;Knee Replacement;Oxford Knee Score;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 40 to 44;Hip Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 40 to 44;Hip Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 40 to 44;Hip Replacement;Oxford Hip Score;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 40 to 44;Knee Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 40 to 44;Knee Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 40 to 44;Knee Replacement;Oxford Knee Score;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 45 to 49;Hip Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 45 to 49;Hip Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 45 to 49;Hip Replacement;Oxford Hip Score;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 45 to 49;Knee Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 45 to 49;Knee Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 45 to 49;Knee Replacement;Oxford Knee Score;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 50 to 54;Hip Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 50 to 54;Hip Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 50 to 54;Hip Replacement;Oxford Hip Score;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 50 to 54;Knee Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 50 to 54;Knee Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 50 to 54;Knee Replacement;Oxford Knee Score;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 55 to 59;Hip Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 55 to 59;Hip Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 55 to 59;Hip Replacement;Oxford Hip Score;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 55 to 59;Knee Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 55 to 59;Knee Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 55 to 59;Knee Replacement;Oxford Knee Score;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 60 to 64;Hip Replacement;EQ VAS;65.0;65.0;65.0;65.0;65.0;65.0;90.0;90.0;90.0;90.0;90.0;90.0;25.0;25.0;25.0;25.0;25.0;25.0;1.0;0.0;0.0;1.0;2018-19
Age and Gender;9 - 60 to 64;Hip Replacement;EQ-5D Index;0.691;0.691;0.691;0.691;0.691;0.691;1.0;1.0;1.0;1.0;1.0;1.0;0.309;0.309;0.309;0.309;0.309;0.309;1.0;0.0;0.0;1.0;2018-19
Age and Gender;9 - 60 to 64;Hip Replacement;Oxford Hip Score;31.0;31.0;31.0;31.0;31.0;31.0;48.0;48.0;48.0;48.0;48.0;48.0;17.0;17.0;17.0;17.0;17.0;17.0;1.0;0.0;0.0;1.0;2018-19
Age and Gender;9 - 60 to 64;Knee Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 60 to 64;Knee Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 60 to 64;Knee Replacement;Oxford Knee Score;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 65 to 69;Hip Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 65 to 69;Hip Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 65 to 69;Hip Replacement;Oxford Hip Score;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 65 to 69;Knee Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 65 to 69;Knee Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 65 to 69;Knee Replacement;Oxford Knee Score;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 70 to 74;Hip Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 70 to 74;Hip Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 70 to 74;Hip Replacement;Oxford Hip Score;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 70 to 74;Knee Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 70 to 74;Knee Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 70 to 74;Knee Replacement;Oxford Knee Score;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 75 to 79;Hip Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 75 to 79;Hip Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 75 to 79;Hip Replacement;Oxford Hip Score;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 75 to 79;Knee Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 75 to 79;Knee Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 75 to 79;Knee Replacement;Oxford Knee Score;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 80 to 84;Hip Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 80 to 84;Hip Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 80 to 84;Hip Replacement;Oxford Hip Score;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 80 to 84;Knee Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 80 to 84;Knee Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 80 to 84;Knee Replacement;Oxford Knee Score;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 85 to 89;Hip Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 85 to 89;Hip Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 85 to 89;Hip Replacement;Oxford Hip Score;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 85 to 89;Knee Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 85 to 89;Knee Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 85 to 89;Knee Replacement;Oxford Knee Score;;;;;;;;;;;;;;;;;;;;;;;2018-19
Age and Gender;9 - 90 to 120;Hip Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2018-19
