Dimension,Value,Procedure,Measure,Pre-Op Q Mean,Pre-Op Q 5%,Pre-Op Q 1st Quartile,Pre-Op Q Median,Pre-Op Q 3rd Quartile,Pre-Op Q 95%,Post-Op Q Mean,Post-Op Q 5%,Post-Op Q 1st Quartile,Post-Op Q Median,Post-Op Q 3rd Quartile,Post-Op Q 95%,Heath Gain Mean,Heath Gain 5%,Heath Gain 1st Quartile,Heath Gain Median,Heath Gain 3rd Quartile,Heath Gain 95%,Improved,Unchanged,Worsened,Total
Age,70 to 74,Knee Replacement,Oxford Knee Score,19.735,7,14,20,25,33,37.255,20,33,39,44,47,17.52,1,11,18,24,33,9668,88,391,10147
Age,75 to 79,Hip Replacement,EQ VAS,64.77,24,50,70,80,95,76.598,45,70,80,90,98,11.828,-20,-1,10,25,55,3659,571,1441,5671
Age,75 to 79,Hip Replacement,EQ-5D Index,0.342,-0.074,0.055,0.374,0.656,0.727,0.795,0.293,0.691,0.814,1,1,0.452,-0.033,0.192,0.413,0.741,1.003,5364,314,308,5986
Age,75 to 79,Hip Replacement,Oxford Hip Score,17.729,5,11,17,23,32.9,39.211,22,35,42,46,48,21.481,3,15,22,29,37,6329,41,173,6543
Age,75 to 79,Knee Replacement,EQ VAS,69.431,30.15,60,70,84,95,75.354,40,68,80,90,96,5.923,-25,-5,5,15,40,3611,847,2026,6484
Age,75 to 79,Knee Replacement,EQ-5D Index,0.428,-0.074,0.101,0.587,0.691,0.76,0.765,0.199,0.691,0.796,1,1,0.338,-0.071,0.091,0.309,0.601,0.873,5671,655,505,6831
Age,75 to 79,Knee Replacement,Oxford Knee Score,19.23,7,13,19,25,32,36.49,19,31,38,44,47,17.26,1,11,18,24,33,7031,50,291,7372
Age,80 to 84,Hip Replacement,EQ VAS,63.132,20,50,69,80,92,74.637,40,65,80,90,97,11.505,-25,-1,10,25,55,2250,364,889,3503
Age,80 to 84,Hip Replacement,EQ-5D Index,0.299,-0.077,-0.003,0.189,0.587,0.691,0.767,0.195,0.691,0.796,1,1,0.468,0,0.204,0.432,0.749,1.003,3358,173,182,3713
Age,80 to 84,Hip Replacement,Oxford Hip Score,16.509,5,10,16,22,32,37.938,20.45,33,40,45,48,21.429,3,15,22,29,37,4025,21,104,4150
Age,80 to 84,Knee Replacement,EQ VAS,68.342,30,55,70,80,95,74.963,45,68,80,90,95.6,6.621,-23.6,-5,5,18,43,1970,474,1105,3549
Age,80 to 84,Knee Replacement,EQ-5D Index,0.418,-0.074,0.101,0.587,0.691,0.76,0.765,0.264,0.691,0.796,1,1,0.346,-0.069,0.104,0.309,0.603,0.912,3147,350,243,3740
Age,80 to 84,Knee Replacement,Oxford Knee Score,18.766,7,13,18,24,32,36.216,19.25,31,38,43,47,17.45,1,11,18,24,33,3965,41,140,4146
Age,85 to 89,Hip Replacement,EQ VAS,61.88,20,50,68,80,90,73.107,40,60,75,87,95,11.227,-25,-1,10,25,50,833,120,331,1284
Age,85 to 89,Hip Replacement,EQ-5D Index,0.262,-0.184,-0.016,0.159,0.587,0.691,0.746,0.26,0.623,0.76,1,1,0.484,-0.068,0.192,0.515,0.771,1.016,1208,68,81,1357
Age,85 to 89,Hip Replacement,Oxford Hip Score,15.391,4,9,14,21,31,37.144,21,32,39,44,48,21.752,3,15.5,23,29,37,1465,10,44,1519
Age,85 to 89,Knee Replacement,EQ VAS,67.754,30,50,70,80,95,73.342,40,64.25,75.5,86.75,95,5.588,-30,-5,5,16,45,618,136,384,1138
Age,85 to 89,Knee Replacement,EQ-5D Index,0.389,-0.074,0.088,0.516,0.691,0.727,0.733,0.186,0.62,0.76,0.883,1,0.344,-0.104,0.104,0.309,0.626,0.874,979,101,105,1185
Age,85 to 89,Knee Replacement,Oxford Knee Score,17.841,6,12,17,23,32,35.368,18.2,30,37,43,47,17.526,1,11,18,25,33,1244,10,51,1305
Age,90 to 120,Hip Replacement,EQ VAS,58.738,10,44.25,61,80,91.9,70.693,38.05,60,75,85,99,11.955,-24.8,-5,10,29,50,131,14,57,202
Age,90 to 120,Hip Replacement,EQ-5D Index,0.182,-0.239,-0.074,0.055,0.516,0.691,0.701,0.188,0.587,0.743,0.85,1,0.519,0,0.227,0.56,0.775,1.074,191,12,8,211
Age,90 to 120,Hip Replacement,Oxford Hip Score,12.83,3,6,11,18,28.3,35.081,18,29,38,41,46,22.251,3.7,16,23,30,37,226,1,8,235
Age,90 to 120,Knee Replacement,EQ VAS,64.4,22.25,50,70,80,90,71.72,40,60,75,85,95,7.32,-28.75,-6.5,5,20,52.2,83,21,46,150
Age,90 to 120,Knee Replacement,EQ-5D Index,0.343,-0.074,0.055,0.293,0.691,0.727,0.719,0.178,0.62,0.743,0.883,1,0.377,-0.104,0.106,0.309,0.636,0.932,134,10,15,159
Age,90 to 120,Knee Replacement,Oxford Knee Score,15.711,3.6,10,14,21,29,34.942,20,29,36,42,46,19.231,2,13,20,26,35,168,1,4,173
Age and Gender,0 - 10 to 14,Hip Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 10 to 14,Hip Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 10 to 14,Hip Replacement,Oxford Hip Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 10 to 14,Knee Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 10 to 14,Knee Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 10 to 14,Knee Replacement,Oxford Knee Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 15 to 19,Hip Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 15 to 19,Hip Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 15 to 19,Hip Replacement,Oxford Hip Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 15 to 19,Knee Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 15 to 19,Knee Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 15 to 19,Knee Replacement,Oxford Knee Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 20 to 24,Hip Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 20 to 24,Hip Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 20 to 24,Hip Replacement,Oxford Hip Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 20 to 24,Knee Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 20 to 24,Knee Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 20 to 24,Knee Replacement,Oxford Knee Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 25 to 29,Hip Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 25 to 29,Hip Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 25 to 29,Hip Replacement,Oxford Hip Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 25 to 29,Knee Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 25 to 29,Knee Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 25 to 29,Knee Replacement,Oxford Knee Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 30 to 34,Hip Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 30 to 34,Hip Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
