Dimension,Value,Procedure,Measure,Pre-Op Q Mean,Pre-Op Q 5%,Pre-Op Q 1st Quartile,Pre-Op Q Median,Pre-Op Q 3rd Quartile,Pre-Op Q 95%,Post-Op Q Mean,Post-Op Q 5%,Post-Op Q 1st Quartile,Post-Op Q Median,Post-Op Q 3rd Quartile,Post-Op Q 95%,Heath Gain Mean,Heath Gain 5%,Heath Gain 1st Quartile,Heath Gain Median,Heath Gain 3rd Quartile,Heath Gain 95%,Improved,Unchanged,Worsened,Total
Age and Gender,9 - 90 to 120,Knee Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 90 to 120,Knee Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 90 to 120,Knee Replacement,Oxford Knee Score,,,,,,,,,,,,,,,,,,,,,,
Disability,1,Hip Replacement,EQ VAS,57.43,20,40,60,75,90,72.936,35,60,78,90,98,15.506,-25,0,13,30,60,11919,1308,3803,17030
Disability,1,Hip Replacement,EQ-5D Index,0.235,-0.181,-0.016,0.088,0.587,0.691,0.738,0.088,0.62,0.779,1,1,0.502,-0.013,0.228,0.532,0.793,1.016,15851,913,900,17664
Disability,1,Hip Replacement,Oxford Hip Score,14.69,4,9,14,19,28,37.758,19,33,40,45,48,23.067,4,17,24,31,38,18825,99,443,19367
Disability,1,Knee Replacement,EQ VAS,62.046,25,50,65,80,90,70.217,30,60,75,85,95,8.172,-30,-5,6,20,50,10564,1832,5357,17753
Disability,1,Knee Replacement,EQ-5D Index,0.31,-0.077,0.055,0.159,0.62,0.691,0.686,0.055,0.587,0.708,0.85,1,0.376,-0.104,0.104,0.38,0.637,0.912,15113,1690,1565,18368
Disability,1,Knee Replacement,Oxford Knee Score,16.085,6,11,16,21,28,33.993,15,28,36,42,47,17.908,0,11,18,25,34,18798,187,870,19855
Disability,2,Hip Replacement,EQ VAS,69.657,30,60,75,85,95,82.211,50,75,85,90,100,12.554,-16,0,10,24,50,11188,1562,3408,16158
Disability,2,Hip Replacement,EQ-5D Index,0.455,-0.016,0.159,0.587,0.691,0.796,0.865,0.587,0.76,1,1,1,0.41,0,0.204,0.309,0.639,0.945,15042,802,783,16627
Disability,2,Hip Replacement,Oxford Hip Score,20.63,8,15,20,26,35,42.142,27,40,44,47,48,21.511,4,15,22,29,36,17266,89,403,17758
Disability,2,Knee Replacement,EQ VAS,73.158,40,63,77,85,95,80.15,50,75,81,90,99,6.992,-20,-3,5,15,40,11683,2573,5463,19719
Disability,2,Knee Replacement,EQ-5D Index,0.514,0.03,0.159,0.691,0.691,0.796,0.814,0.516,0.691,0.796,1,1,0.3,-0.071,0.069,0.273,0.532,0.841,16846,1831,1647,20324
Disability,2,Knee Replacement,Oxford Knee Score,21.842,10,17,22,27,34,38.468,22,34,41,45,48,16.625,0,11,17,23,32,20299,190,937,21426
Disability,9,Hip Replacement,EQ VAS,66.138,25,50,70,80,95,79.299,50,70,80,90,100,13.161,-20,0,10,25,55,1220,196,362,1778
Disability,9,Hip Replacement,EQ-5D Index,0.39,-0.074,0.055,0.516,0.691,0.76,0.822,0.516,0.691,0.85,1,1,0.432,-0.033,0.192,0.38,0.714,1.003,1772,103,103,1978
Disability,9,Hip Replacement,Oxford Hip Score,19.219,6,13,19,25,34,40.422,23,37,43,47,48,21.203,3,15,22,29,37,2092,11,68,2171
Disability,9,Knee Replacement,EQ VAS,67.7,30,50,70,85,95,74.722,40,65,80,90,96,7.022,-27,-5,5,20,45,732,158,397,1287
Disability,9,Knee Replacement,EQ-5D Index,0.393,-0.074,0.088,0.516,0.691,0.76,0.738,0.088,0.62,0.76,1,1,0.345,-0.104,0.071,0.309,0.632,0.899,1214,137,131,1482
Disability,9,Knee Replacement,Oxford Knee Score,18.469,7,13,18,23,32,35.415,15,30,37.5,43,47,16.946,-1,10,18,24,33,1594,8,90,1692
Ethnicity,99,Hip Replacement,EQ VAS,65.531,25,50,70,80,95,80.642,50,75,85,90,100,15.111,-20,0,10,30,59.2,1089,148,292,1529
Ethnicity,99,Hip Replacement,EQ-5D Index,0.379,-0.074,0.055,0.516,0.691,0.76,0.836,0.516,0.727,0.883,1,1,0.457,0,0.222,0.413,0.74,1.016,1442,61,63,1566
Ethnicity,99,Hip Replacement,Oxford Hip Score,18.45,6,12,18,24,33,41.162,24,38,44,47,48,22.712,5,17,23,30,38,1640,11,36,1687
Ethnicity,99,Knee Replacement,EQ VAS,71.155,30,60,75,85,95,77.454,40,70,80,90,98,6.298,-25,-5,5,15,40,756,176,393,1325
Ethnicity,99,Knee Replacement,EQ-5D Index,0.439,-0.074,0.159,0.62,0.691,0.76,0.767,0.189,0.691,0.796,1,1,0.327,-0.102,0.088,0.309,0.601,0.864,1131,119,107,1357
Ethnicity,99,Knee Replacement,Oxford Knee Score,19.631,7,14,19,25,33,37.049,20,32,39,44,47,17.419,1,11,18,24,33,1391,12,52,1455
Ethnicity,A,Hip Replacement,EQ VAS,63.382,20,50,70,80,95,77.16,40,70,80,90,99,13.778,-20,0,10,28,57,19598,2467,6253,28318
Ethnicity,A,Hip Replacement,EQ-5D Index,0.339,-0.074,0.055,0.364,0.62,0.76,0.795,0.204,0.691,0.815,1,1,0.456,-0.002,0.204,0.413,0.741,1.016,26365,1533,1477,29375
Ethnicity,A,Hip Replacement,Oxford Hip Score,17.449,5,11,17,23,32,39.703,21,36,43,46,48,22.254,4,16,23,30,37,30858,161,765,31784
Ethnicity,A,Knee Replacement,EQ VAS,67.909,30,52,70,80,95,75.364,40,68,80,90,97,7.455,-25,-5,5,20,45,18188,3594,8966,30748
Ethnicity,A,Knee Replacement,EQ-5D Index,0.415,-0.074,0.088,0.587,0.691,0.76,0.752,0.159,0.691,0.796,1,1,0.337,-0.104,0.071,0.309,0.603,0.899,26257,2886,2644,31787
Ethnicity,A,Knee Replacement,Oxford Knee Score,19.025,7,13,19,24,32,36.338,18,31,39,44,47,17.313,0,11,18,24,33,32218,301,1458,33977
Ethnicity,B,Hip Replacement,EQ VAS,62.394,20.75,50,69,80,92.75,73.579,40,64.75,79,90,95,11.185,-27.75,-1,10,25.5,55,138,22,56,216
Ethnicity,B,Hip Replacement,EQ-5D Index,0.345,-0.075,0.03,0.516,0.691,0.76,0.779,0.246,0.691,0.796,1,1,0.434,-0.068,0.173,0.413,0.708,1,186,17,14,217
Ethnicity,B,Hip Replacement,Oxford Hip Score,17.866,5,12,16,23,34,37.776,18,32,40,46,48,19.909,2.65,12,20,28,36,246,0,8,254
Ethnicity,B,Knee Replacement,EQ VAS,69.146,30,55,70,84,95,73.606,30,65,80,90,98,4.46,-34.4,-5,5,15,40,117,25,71,213
Ethnicity,B,Knee Replacement,EQ-5D Index,0.435,-0.016,0.159,0.587,0.691,0.76,0.75,0.2,0.691,0.76,1,1,0.314,-0.109,0.071,0.309,0.601,0.841,186,13,25,224
Ethnicity,B,Knee Replacement,Oxford Knee Score,19.352,7,14,19,24,33,35.585,16,32,38,43,47,16.233,-1,9,17,24,31.4,234,3,16,253
Ethnicity,C,Hip Replacement,EQ VAS,63.054,20,50,66,80,95,75.68,40,69,80,90,100,12.626,-20,-1,10,25,50,397,61,154,612
Ethnicity,C,Hip Replacement,EQ-5D Index,0.356,-0.181,0.055,0.516,0.691,0.76,0.787,0.293,0.691,0.812,1,1,0.431,-0.033,0.176,0.367,0.694,1.016,565,27,33,625
Ethnicity,C,Hip Replacement,Oxford Hip Score,18.349,5,12,18,24,33,38.991,20,34,42,46,48,20.642,2,14,22,28,36,672,3,18,693
Ethnicity,C,Knee Replacement,EQ VAS,66.453,25.2,50,70,80,95,73.835,38,65,79,90,97,7.383,-30,-5,5,20,42.7,379,64,200,643
Ethnicity,C,Knee Replacement,EQ-5D Index,0.403,-0.077,0.088,0.587,0.691,0.76,0.739,0.159,0.62,0.779,1,1,0.336,-0.071,0.071,0.309,0.597,0.871,559,60,48,667
Ethnicity,C,Knee Replacement,Oxford Knee Score,18.879,6,13,19,25,32.85,35.571,17,30,37,43,47,16.692,0,10,17,23,32,662,8,34,704
Ethnicity,D,Hip Replacement,EQ VAS,54.444,18.5,26.25,50,83.75,91.5,75,50,65,77.5,90,95.45,20.556,-10.75,1.25,11.5,40,55,13,3,2,18
Ethnicity,D,Hip Replacement,EQ-5D Index,0.417,-0.09,0.055,0.62,0.691,0.701,0.797,0.494,0.691,0.796,1,1,0.38,0.102,0.257,0.311,0.532,0.654,19,0,0,19
Ethnicity,D,Hip Replacement,Oxford Hip Score,18.944,5.4,14.25,19.5,25.5,27.3,37.556,18.1,33,43,46,48,18.611,6.2,12.5,19.5,25.5,29.9,17,0,1,18
Ethnicity,D,Knee Replacement,EQ VAS,56.333,15.5,40,65,70,84.5,74.933,38.5,72.5,80,85,94.3,18.6,-16,0,15,29.5,66,10,3,2,15
Ethnicity,D,Knee Replacement,EQ-5D Index,0.291,-0.09,0.019,0.159,0.655,0.691,0.567,0.082,0.516,0.62,0.709,1,0.276,-0.107,0,0.309,0.532,0.644,13,4,2,19
Ethnicity,D,Knee Replacement,Oxford Knee Score,15.619,6,11,14,23,26,29.667,11,24,30,39,44,14.048,0,6,15,19,33,18,2,1,21
Ethnicity,E,Hip Replacement,EQ VAS,45.8,14,30,36,70,80.4,70,50,50,75,80,92,24.2,10.4,12,20,39,39.8,5,0,0,5
Ethnicity,E,Hip Replacement,EQ-5D Index,0.116,-0.16,-0.074,-0.016,0.159,0.585,0.732,0.276,0.623,0.848,1,1,0.616,0.321,0.37,0.639,0.689,0.997,5,0,0,5
Ethnicity,E,Hip Replacement,Oxford Hip Score,11.286,3.2,6.5,7,14.5,25.9,39.143,25.5,36.5,40,46,47.7,27.857,15.5,19.5,30,35.5,39.8,7,0,0,7
Ethnicity,E,Knee Replacement,EQ VAS,65.706,29,55,70,75,91.6,76.176,46,70,75,85,100,10.471,-13,0,5,17,43,12,2,3,17
Ethnicity,E,Knee Replacement,EQ-5D Index,0.425,-0.028,0.101,0.587,0.691,0.753,0.713,0.429,0.587,0.796,0.796,1,0.288,-0.089,0.105,0.194,0.59,0.749,14,2,1,17
Ethnicity,E,Knee Replacement,Oxford Knee Score,16.316,9,11,15,21,25.9,33.368,18.3,28.5,34,41.5,44.3,17.053,5.7,9.5,18,22,32.3,19,0,0,19
Ethnicity,F,Hip Replacement,EQ VAS,59.429,31.25,41.25,55,77.5,91.75,73.643,53.9,70,73,79.75,94.8,14.214,-19.2,5.25,15,27.5,43.1,11,0,3,14
Ethnicity,F,Hip Replacement,EQ-5D Index,0.361,-0.033,0.026,0.516,0.656,0.722,0.733,0.418,0.621,0.76,0.848,1,0.373,-0.104,0.095,0.309,0.68,0.856,12,0,3,15
Ethnicity,F,Hip Replacement,Oxford Hip Score,15.889,7.7,12,15,18.75,28.5,37.278,15.55,31.75,41,46.5,48,21.389,-5,12,27,29,35.9,16,0,2,18
Ethnicity,F,Knee Replacement,EQ VAS,67.364,30.5,52.5,70,80,94.75,68.045,24.05,45,77.5,90,98.8,0.682,-39,-12.5,4,13.75,24.75,12,2,8,22
Ethnicity,F,Knee Replacement,EQ-5D Index,0.426,-0.016,0.088,0.587,0.691,0.691,0.656,0.037,0.587,0.725,0.796,1,0.23,-0.253,0,0.192,0.532,0.769,18,3,4,25
Ethnicity,F,Knee Replacement,Oxford Knee Score,17.593,6.6,12.5,16,23,31.1,30.667,7,20.5,36,42,46.1,13.074,-10.3,6.5,12,23,32.7,23,0,4,27
Ethnicity,G,Hip Replacement,EQ VAS,59.737,24,50,65,75,80.7,76.842,54.5,70,80,87,94.3,17.105,-11.1,1,14,24,61.9,14,0,5,19
Ethnicity,G,Hip Replacement,EQ-5D Index,0.351,-0.074,-0.003,0.44,0.638,0.694,0.753,0.079,0.673,0.805,1,1,0.403,-0.123,0.103,0.345,0.731,0.895,17,1,2,20
Ethnicity,G,Hip Replacement,Oxford Hip Score,17.429,6,11,18,24,29,36.476,14,36,39,46,48,19.048,4,12,19,29,34,20,0,1,21
Ethnicity,G,Knee Replacement,EQ VAS,58.609,3.5,47.5,60,73.5,94.8,68.043,45.5,59,65,80,91.8,9.435,-18.6,-7.5,10,20,43.5,13,2,8,23
Ethnicity,G,Knee Replacement,EQ-5D Index,0.348,-0.105,-0.016,0.516,0.689,0.76,0.589,0.004,0.516,0.656,0.796,1,0.241,-0.29,0,0.195,0.484,0.706,16,6,3,25
Ethnicity,G,Knee Replacement,Oxford Knee Score,17.37,5.9,10.5,15,21.5,33.8,30.259,12.3,24.5,32,38,46.4,12.889,0,3,10,20,31.7,24,2,1,27
Ethnicity,H,Hip Replacement,EQ VAS,53.557,12.25,32,52.5,70,95.5,72.243,44.5,60,75,85.75,94.55,18.686,-15.5,0,10,38.75,65,50,8,12,70
Ethnicity,H,Hip Replacement,EQ-5D Index,0.247,-0.181,-0.016,0.067,0.587,0.739,0.693,0.171,0.587,0.727,0.814,1,0.445,-0.014,0.105,0.526,0.742,0.945,63,6,5,74
Ethnicity,H,Hip Replacement,Oxford Hip Score,15.947,4,8,14,22,31.5,35.289,16.5,28.75,38,44,48,19.342,1.75,13,19.5,27.25,36.25,73,1,2,76
Ethnicity,H,Knee Replacement,EQ VAS,59.294,20,50,60,75,90,66.468,30,51,70,80,90,7.174,-30,-6,6,20,50,298,60,159,517
Ethnicity,H,Knee Replacement,EQ-5D Index,0.331,-0.131,-0.003,0.364,0.691,0.727,0.644,-0.016,0.587,0.691,0.796,1,0.313,-0.202,0.033,0.309,0.603,0.894,443,59,87,589
Ethnicity,H,Knee Replacement,Oxford Knee Score,16.035,5,10,15,21,31,30.014,12,24,30,37,45,13.979,-3,7,14,21,31,563,9,55,627
Ethnicity,J,Hip Replacement,EQ VAS,44.154,4.75,30,35,63.75,95,64.038,22.5,43.25,62.5,90,95,19.885,-13.75,0,10.5,35.25,75,18,2,6,26
Ethnicity,J,Hip Replacement,EQ-5D Index,0.04,-0.437,-0.101,-0.074,0.184,0.62,0.458,-0.146,0.068,0.516,0.714,1,0.418,-0.223,0.156,0.403,0.721,1.048,22,0,6,28
Ethnicity,J,Hip Replacement,Oxford Hip Score,11.69,4.4,6,9,16,28.4,29.345,9.2,22,28,38,46.6,17.655,-0.2,11,17,22,36.8,27,0,2,29
Ethnicity,J,Knee Replacement,EQ VAS,50.836,15,40,50,68,83,60.459,25,50,60,75,90,9.623,-30,-5,10,30,50,88,18,40,146
Ethnicity,J,Knee Replacement,EQ-5D Index,0.191,-0.321,-0.016,0.088,0.587,0.691,0.605,-0.016,0.516,0.63,0.76,1,0.413,-0.206,0.066,0.492,0.707,0.994,132,17,19,168
Ethnicity,J,Knee Replacement,Oxford Knee Score,13.469,4,8,12,18,27.2,28.52,9.8,21,30,37,45.2,15.051,-4,8,15,23,32,160,0,17,177
Ethnicity,K,Hip Replacement,EQ VAS,51,31.5,37.5,47.5,61,75.4,85,80.75,83.75,85,86.25,89.25,34,10.35,27.75,37.5,43.75,52.75,4,0,0,4
Ethnicity,K,Hip Replacement,EQ-5D Index,0.065,-0.013,-0.003,-0.003,0.159,0.183,0.847,0.726,0.796,0.848,0.883,0.977,0.782,0.672,0.724,0.799,0.841,0.877,5,0,0,5
Ethnicity,K,Hip Replacement,Oxford Hip Score,15.6,9.2,14,16,17,21.8,43,34.4,40,47,47,47.8,27.4,18.6,25,30,32,32.8,5,0,0,5
Ethnicity,K,Knee Replacement,EQ VAS,53.429,32.55,41.25,50,60,80,64.857,50,50,64,70,91.75,11.429,-3.5,8.5,10,15,26.55,12,1,1,14
Ethnicity,K,Knee Replacement,EQ-5D Index,0.018,-0.403,-0.181,0.03,0.088,0.586,0.545,0.041,0.516,0.62,0.691,0.774,0.526,0.065,0.461,0.565,0.705,0.827,13,0,0,13
Ethnicity,K,Knee Replacement,Oxford Knee Score,13.588,3.8,10,15,17,22.6,26.765,12.2,22,24,35,39.8,13.176,2.6,7,11,20,26.6,17,0,0,17
Ethnicity,L,Hip Replacement,EQ VAS,55.583,25.75,43.75,60,70,74.25,72.458,40,61.25,80,90,95.1,16.875,-17,5,12.5,27.75,53.4,19,3,2,24
Ethnicity,L,Hip Replacement,EQ-5D Index,0.316,-0.134,0.055,0.364,0.587,0.739,0.713,0.189,0.552,0.796,1,1,0.397,0,0.156,0.413,0.595,0.864,23,3,1,27
Ethnicity,L,Hip Replacement,Oxford Hip Score,16.903,6,9.5,16,20,35.5,34.548,12.5,28,36,45.5,48,17.645,0,11.5,20,24,31.5,29,0,2,31
Ethnicity,L,Knee Replacement,EQ VAS,62.775,30,50,70,80,90,70.883,42.5,60,70,85,96.5,8.108,-30,-5.5,10,21.5,42.5,65,13,33,111
Ethnicity,L,Knee Replacement,EQ-5D Index,0.361,-0.181,0.055,0.516,0.691,0.727,0.678,0.005,0.62,0.691,0.805,1,0.317,-0.11,0.036,0.273,0.613,0.868,94,14,15,123
Ethnicity,L,Knee Replacement,Oxford Knee Score,16.787,6,12,16,22,27.25,30.963,13.75,24,32,39,44.25,14.176,-3,8,13.5,21,30.25,126,1,9,136
Ethnicity,M,Hip Replacement,EQ VAS,54.867,17,40,50,70,90,71.08,30,55,80,90,95,16.213,-30,0,15,36,60.6,54,6,15,75
Ethnicity,M,Hip Replacement,EQ-5D Index,0.234,-0.22,-0.016,0.106,0.587,0.691,0.71,0.218,0.587,0.691,1,1,0.475,-0.104,0.119,0.526,0.771,1.059,74,6,8,88
Ethnicity,M,Hip Replacement,Oxford Hip Score,15.064,5.65,9,14,20,27.7,35.372,16.65,30,37,43.75,48,20.309,0,13.25,23,29,34.35,88,2,4,94
Ethnicity,M,Knee Replacement,EQ VAS,61.445,20,50,60,80,90,69,33.5,55,70,80,98,7.555,-30,-8,5,20,53.25,69,17,42,128
Ethnicity,M,Knee Replacement,EQ-5D Index,0.328,-0.074,0.055,0.192,0.691,0.727,0.622,-0.03,0.516,0.691,0.769,1,0.294,-0.184,0,0.211,0.636,0.841,94,20,22,136
Ethnicity,M,Knee Replacement,Oxford Knee Score,16.519,5,10,16.5,21,29.35,29.506,10,21,30,39,45,12.987,-6.35,5.25,13.5,21.75,30,132,2,20,154
Ethnicity,N,Hip Replacement,EQ VAS,60.281,22.75,40,66,76,94.5,83,53.2,75,90,95,100,22.719,-34.15,5,22.5,41.25,64.35,25,1,6,32
Ethnicity,N,Hip Replacement,EQ-5D Index,0.238,-0.074,-0.016,0.123,0.587,0.762,0.75,0.487,0.62,0.778,1,1,0.511,-0.073,0.201,0.665,0.813,0.948,34,1,5,40
Ethnicity,N,Hip Replacement,Oxford Hip Score,15.425,4.95,7,14.5,20.25,28.25,36.05,17.7,29,37,46.25,48,20.625,-8.05,12.75,22,30.25,39.05,36,1,3,40
Ethnicity,N,Knee Replacement,EQ VAS,63.37,30,50,65,80,95,70.08,39.95,60,70,85,95,6.71,-25,-5,10,20,30.1,64,7,29,100
Ethnicity,N,Knee Replacement,EQ-5D Index,0.268,-0.239,-0.016,0.159,0.62,0.727,0.636,-0.016,0.587,0.691,0.796,1,0.368,-0.071,0.071,0.369,0.636,0.841,86,10,12,108
Ethnicity,N,Knee Replacement,Oxford Knee Score,14.588,5,9.5,13,19,30.1,28.58,11,19,29,37,46,13.992,-1.1,8.5,13,21,29.2,109,2,8,119
Ethnicity,P,Hip Replacement,EQ VAS,58.296,9.5,35,60,85,97.4,76.185,25.4,72.5,84,95,95,17.889,-15,-0.5,10,40,53.5,18,2,7,27
Ethnicity,P,Hip Replacement,EQ-5D Index,0.305,-0.161,0.01,0.174,0.647,0.727,0.731,0.01,0.62,0.778,1,1,0.427,-0.165,0.248,0.456,0.68,0.912,22,1,3,26
Ethnicity,P,Hip Replacement,Oxford Hip Score,17.063,5.55,10,13.5,27,33.8,35.563,11.75,28.75,41,45,47.45,18.5,-4.25,12,18.5,28.5,36.45,29,0,3,32
Ethnicity,P,Knee Replacement,EQ VAS,71.727,46,60,70,84,100,73.061,31,60,80,90,100,1.333,-33.6,-10,0,19,34,16,5,12,33
Ethnicity,P,Knee Replacement,EQ-5D Index,0.421,-0.207,0.055,0.587,0.691,0.727,0.695,0.516,0.612,0.691,0.796,1,0.274,-0.077,0.035,0.105,0.547,0.935,26,3,3,32
Ethnicity,P,Knee Replacement,Oxford Knee Score,15.694,4,10,16.5,20.5,27.25,31.194,16.5,24.75,32.5,37,46,15.5,-0.5,8,17,21.5,28.75,33,1,2,36
Ethnicity,R,Hip Replacement,EQ VAS,69.667,48.75,62.5,72.5,78.75,86,65.833,50,52.5,65,77.5,83.75,-3.833,-23.75,-17.5,-6.5,10.5,18.75,2,0,4,6
Ethnicity,R,Hip Replacement,EQ-5D Index,0.458,-0.013,0.17,0.691,0.691,0.691,0.601,0.127,0.542,0.665,0.747,0.94,0.143,-0.131,0.005,0.044,0.249,0.554,4,1,1,6
Ethnicity,R,Hip Replacement,Oxford Hip Score,21.333,12,16.75,22.5,25.25,29.75,37.667,26.25,36.75,40,41.75,44.25,16.333,2.5,11.5,18.5,22.5,26.75,5,1,0,6
Ethnicity,R,Knee Replacement,EQ VAS,66.607,40,53.75,70,80,83.6,72.429,46.75,60,77.5,80,95,5.821,-23.6,-5,5,16,33.25,15,5,8,28
Ethnicity,R,Knee Replacement,EQ-5D Index,0.511,-0.016,0.44,0.62,0.691,0.778,0.734,0.404,0.656,0.76,0.796,1,0.223,-0.214,0,0.121,0.344,0.938,22,5,4,31
Ethnicity,R,Knee Replacement,Oxford Knee Score,19.032,7.5,13,18,25,28.5,35.258,22,30,36,41.5,44.5,16.226,1,11,15,23,34,29,1,1,31
Ethnicity,S,Hip Replacement,EQ VAS,54.505,20,35,55,75,90,74.814,37.4,70,80,90,95.4,20.309,-18.4,5,20,40,60,75,3,19,97
Ethnicity,S,Hip Replacement,EQ-5D Index,0.272,-0.181,-0.01,0.159,0.587,0.73,0.771,0.183,0.689,0.796,1,1,0.5,-0.004,0.207,0.484,0.786,1.016,87,7,5,99
Ethnicity,S,Hip Replacement,Oxford Hip Score,16.661,6,11,16,23,31,37.625,16,32,40.5,45.25,48,20.964,0.55,14,23,30,37,106,1,5,112
Ethnicity,S,Knee Replacement,EQ VAS,63.301,25,50,65,80,90,71.846,38.75,60,75,85,95,8.545,-26.25,-5,5,20,49.25,95,18,43,156
Ethnicity,S,Knee Replacement,EQ-5D Index,0.326,-0.181,0.036,0.209,0.689,0.718,0.703,0.159,0.62,0.691,0.837,1,0.377,-0.104,0.105,0.413,0.636,0.912,138,13,15,166
Ethnicity,S,Knee Replacement,Oxford Knee Score,16.755,7,10,16,22,30,32.09,13.35,24,34,41,47,15.335,-4,8,16,24,32,167,2,19,188
Ethnicity,Z,Hip Replacement,EQ VAS,64.818,23,50,70,80,95,80.084,50,75,85,90,100,15.266,-17,0,10,30,58,2797,340,737,3874
Ethnicity,Z,Hip Replacement,EQ-5D Index,0.379,-0.074,0.055,0.516,0.691,0.76,0.84,0.516,0.727,0.883,1,1,0.461,0,0.227,0.413,0.743,1.016,3720,154,160,4034
Ethnicity,Z,Hip Replacement,Oxford Hip Score,18.637,6,13,18,24,33,41.428,25,39,44,47,48,22.792,6,17,24,30,37,4309,18,62,4389
Ethnicity,Z,Knee Replacement,EQ VAS,69.144,30,60,71,82,95,77.696,45,70,80,90,98,8.552,-20,-2,5,20,45,2770,551,1199,4520
Ethnicity,Z,Knee Replacement,EQ-5D Index,0.45,-0.016,0.159,0.62,0.691,0.76,0.786,0.293,0.691,0.796,1,1,0.336,-0.071,0.104,0.309,0.601,0.899,3931,424,332,4687
Ethnicity,Z,Knee Replacement,Oxford Knee Score,20.046,8,14,20,25,33,37.729,21,33,40,44,47,17.683,1,12,18,24,33,4766,39,200,5005
Gender,0,Hip Replacement,EQ VAS,52.5,23.25,36.25,52.5,68.75,81.75,53.5,20.65,35.25,53.5,71.75,86.35,1,-2.6,-1,1,3,4.6,1,0,1,2
Gender,0,Hip Replacement,EQ-5D Index,0.226,-0.192,-0.006,0.226,0.459,0.645,0.338,0.019,0.161,0.337,0.514,0.656,0.112,0.011,0.056,0.112,0.167,0.212,1,1,0,2
Gender,0,Hip Replacement,Oxford Hip Score,14,5.9,9.5,14,18.5,22.1,47,46.1,46.5,47,47.5,47.9,33,24,28,33,38,42,2,0,0,2
Gender,0,Knee Replacement,EQ VAS,70,70,70,70,70,70,90,90,90,90,90,90,20,20,20,20,20,20,1,0,0,1
Gender,0,Knee Replacement,EQ-5D Index,0.691,0.691,0.691,0.691,0.691,0.691,1,1,1,1,1,1,0.309,0.309,0.309,0.309,0.309,0.309,1,0,0,1
Gender,0,Knee Replacement,Oxford Knee Score,23,23,23,23,23,23,43,43,43,43,43,43,20,20,20,20,20,20,1,0,0,1
Gender,1,Hip Replacement,EQ VAS,65.636,25,50,70,80,95,78.44,43,70,80,90,100,12.805,-20,0,10,25,55,9789,1341,3097,14227
Gender,1,Hip Replacement,EQ-5D Index,0.383,-0.074,0.055,0.516,0.691,0.76,0.822,0.364,0.691,0.883,1,1,0.438,-0.002,0.204,0.398,0.707,1.003,13326,696,741,14763
Gender,1,Hip Replacement,Oxford Hip Score,18.895,6,13,18,24,33,40.781,23,38,44,47,48,21.886,4,16,23,29,37,15341,91,385,15817
Gender,1,Knee Replacement,EQ VAS,70.189,30,60,75,85,95,76.694,40,70,80,90,97,6.505,-25,-5,5,15,40,10109,2157,5100,17366
Gender,1,Knee Replacement,EQ-5D Index,0.457,-0.016,0.159,0.62,0.691,0.76,0.773,0.195,0.691,0.796,1,1,0.317,-0.104,0.071,0.309,0.566,0.87,14765,1650,1592,18007
Gender,1,Knee Replacement,Oxford Knee Score,20.644,8,15,20,26,34,37.36,19,33,40,44,48,16.716,0,10,17,24,32,17877,189,925,18991
Gender,2,Hip Replacement,EQ VAS,62.074,20,50,65,80,95,76.933,40,70,80,90,100,14.859,-20,0,10,30,60,14536,1725,4475,20736
Gender,2,Hip Replacement,EQ-5D Index,0.318,-0.077,-0.003,0.193,0.62,0.727,0.786,0.189,0.691,0.814,1,1,0.468,0,0.205,0.413,0.76,1.016,19337,1121,1045,21503
Gender,2,Hip Replacement,Oxford Hip Score,16.769,5,11,16,22,31,39.282,21,35,42,46,48,22.513,4,16,23,30,38,22839,108,529,23476
Gender,2,Knee Replacement,EQ VAS,66.018,30,50,70,80,95,74.385,40,65,80,90,97,8.367,-25,-5,6,20,48,12869,2406,6117,21392
Gender,2,Knee Replacement,EQ-5D Index,0.383,-0.074,0.088,0.516,0.691,0.76,0.736,0.101,0.656,0.76,1,1,0.353,-0.071,0.091,0.309,0.636,0.899,18407,2008,1751,22166
Gender,2,Knee Replacement,Oxford Knee Score,17.786,6,12,17,23,31,35.425,17,30,37,43,47,17.638,1,11,18,25,33,22813,196,972,23981
Gender,9,Hip Replacement,EQ VAS,65,65,65,65,65,65,90,90,90,90,90,90,25,25,25,25,25,25,1,0,0,1
Gender,9,Hip Replacement,EQ-5D Index,0.691,0.691,0.691,0.691,0.691,0.691,1,1,1,1,1,1,0.309,0.309,0.309,0.309,0.309,0.309,1,0,0,1
Gender,9,Hip Replacement,Oxford Hip Score,31,31,31,31,31,31,48,48,48,48,48,48,17,17,17,17,17,17,1,0,0,1
Gender,9,Knee Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Gender,9,Knee Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Gender,9,Knee Replacement,Oxford Knee Score,,,,,,,,,,,,,,,,,,,,,,
Index of Multiple Deprivation,01. Least deprived 10%,Hip Replacement,EQ VAS,64.937,25,50,70,80,95,79.003,49,70,80,90,99,14.066,-20,0,10,26,55,3201,427,927,4555
